timeStep,prey,predators
1250,7553,110
1251,7507,109
1252,7543,112
1253,7577,112
1254,7609,111
1255,7559,111
1256,7606,111
1257,7568,110
1258,7507,109
1259,7533,109
1260,7572,110
1261,7533,110
1262,7525,112
1263,7458,113
1264,7504,113
1265,7575,117
1266,7590,116
1267,7439,114
1268,7583,114
1269,7514,114
1270,7499,114
1271,7424,114
1272,7520,115
1273,7479,115
1274,7474,115
1275,7512,117
1276,7433,117
1277,7482,117
1278,7463,120
1279,7504,121
1280,7500,122
1281,7536,123
1282,7427,124
1283,7397,124
1284,7456,124
1285,7414,121
1286,7422,123
1287,7466,125
1288,7410,125
1289,7497,125
1290,7389,126
1291,7503,126
1292,7451,125
1293,7431,128
1294,7432,130
1295,7415,132
1296,7380,131
1297,7327,130
1298,7346,129
1299,7306,130
1300,7374,130
1301,7401,132
1302,7404,132
1303,7404,132
1304,7421,133
1305,7382,132
1306,7316,133
1307,7373,132
1308,7377,132
1309,7408,131
1310,7422,131
1311,7361,130
1312,7400,131
1313,7411,130
1314,7375,130
1315,7395,129
1316,7404,131
1317,7430,131
1318,7323,131
1319,7414,131
1320,7338,132
1321,7387,131
1322,7335,132
1323,7371,129
1324,7359,128
1325,7370,129
1326,7360,129
1327,7338,129
1328,7383,129
1329,7395,129
1330,7332,128
1331,7310,129
1332,7343,130
1333,7318,129
1334,7319,127
1335,7290,127
1336,7230,129
1337,7230,130
1338,7214,132
1339,7199,131
1340,7256,132
1341,7186,131
1342,7196,133
1343,7239,132
1344,7258,132
1345,7197,133
1346,7236,134
1347,7197,136
1348,7120,138
1349,7162,139
1350,7200,139
1351,7215,138
1352,7193,136
1353,7168,136
1354,7196,135
1355,7103,133
1356,7092,133
1357,7104,134
1358,7142,136
1359,7137,136
1360,7043,137
1361,7086,138
1362,7101,137
1363,7073,137
1364,7042,139
1365,7008,141
1366,7051,141
1367,7038,139
1368,7075,141
1369,7148,140
1370,6997,138
1371,7019,136
1372,6938,137
1373,7002,134
1374,7031,132
1375,7073,132
1376,7009,131
1377,7037,130
1378,6998,131
1379,7044,131
1380,6894,131
1381,7019,130
1382,6955,129
1383,7023,130
1384,7002,130
1385,6920,131
1386,6980,131
1387,6946,132
1388,6949,132
1389,6961,132
1390,6940,133
1391,6965,133
1392,6889,133
1393,6910,133
1394,6894,133
1395,6872,134
1396,6876,134
1397,6795,137
1398,6796,136
1399,6791,138
1400,6840,137
1401,6836,137
1402,6831,138
1403,6769,140
1404,6790,140
1405,6772,141
1406,6773,140
1407,6796,141
1408,6819,143
1409,6747,142
1410,6820,143
1411,6788,144
1412,6817,146
1413,6886,147
1414,6833,146
1415,6889,146
1416,6813,147
1417,6858,149
1418,6816,150
1419,6745,150
1420,6782,152
1421,6769,150
1422,6747,152
1423,6794,152
1424,6746,152
1425,6741,154
1426,6739,154
1427,6733,155
1428,6722,158
1429,6727,158
1430,6722,158
1431,6738,158
1432,6808,157
1433,6811,157
1434,6803,159
1435,6747,159
1436,6755,161
1437,6773,161
1438,6689,161
1439,6680,162
1440,6626,162
1441,6730,157
1442,6737,157
1443,6776,156
1444,6664,157
1445,6687,158
1446,6716,158
1447,6670,158
1448,6629,159
1449,6639,158
1450,6577,158
1451,6570,157
1452,6595,155
1453,6604,153
1454,6580,155
1455,6601,157
1456,6611,155
1457,6596,155
1458,6629,156
1459,6626,155
1460,6607,156
1461,6592,161
1462,6626,159
1463,6547,160
1464,6568,160
1465,6496,162
1466,6462,163
1467,6475,163
1468,6527,163
1469,6475,162
1470,6456,163
1471,6518,163
1472,6459,166
1473,6472,165
1474,6521,168
1475,6565,170
1476,6556,172
1477,6504,173
1478,6463,174
1479,6437,176
1480,6489,175
1481,6441,177
1482,6433,179
1483,6403,183
1484,6401,183
1485,6420,185
1486,6453,186
1487,6398,186
1488,6386,184
1489,6391,187
1490,6300,187
1491,6237,191
1492,6256,188
1493,6262,188
1494,6287,185
1495,6319,188
1496,6253,187
1497,6246,187
1498,6243,187
1499,6136,187
1500,6247,192
1501,6235,191
1502,6257,192
1503,6238,194
1504,6218,194
1505,6178,195
1506,6114,196
1507,6158,196
1508,6222,198
1509,6177,198
1510,6205,197
1511,6149,197
1512,6143,198
1513,6206,198
1514,6088,198
1515,6128,196
1516,6053,199
1517,6057,202
1518,6039,204
1519,6062,208
1520,6131,211
1521,6087,217
1522,6128,220
1523,6019,219
1524,5968,223
1525,6033,226
1526,6003,231
1527,6006,232
1528,5967,232
1529,5960,233
1530,5949,235
1531,5937,236
1532,5965,235
1533,5913,237
1534,5908,238
1535,5959,237
1536,5976,240
1537,5959,242
1538,5932,240
1539,5921,243
1540,5972,244
1541,5898,244
1542,5943,250
1543,5935,250
1544,5887,250
1545,5890,250
1546,5891,248
1547,5812,248
1548,5865,249
1549,5847,250
1550,5888,251
1551,5848,252
1552,5826,250
1553,5798,252
1554,5854,251
1555,5880,251
1556,5839,253
1557,5803,256
1558,5865,255
1559,5849,253
1560,5754,252
1561,5704,249
1562,5689,250
1563,5757,250
1564,5792,250
1565,5738,251
1566,5681,250
1567,5699,251
1568,5696,254
1569,5707,253
1570,5663,253
1571,5668,256
1572,5618,256
1573,5610,256
1574,5686,256
1575,5607,257
1576,5650,260
1577,5579,261
1578,5581,258
1579,5604,263
1580,5597,264
1581,5564,263
1582,5529,268
1583,5551,272
1584,5509,274
1585,5464,274
1586,5462,278
1587,5483,278
1588,5480,279
1589,5521,280
1590,5471,281
1591,5383,280
1592,5380,277
1593,5387,276
1594,5487,274
1595,5441,277
1596,5355,276
1597,5374,275
1598,5362,276
1599,5380,278
1600,5340,276
1601,5298,280
1602,5329,281
1603,5295,281
1604,5343,283
1605,5304,288
1606,5390,288
1607,5327,286
1608,5348,285
1609,5320,285
1610,5286,287
1611,5291,285
1612,5296,284
1613,5284,284
1614,5282,282
1615,5267,281
1616,5247,281
1617,5255,281
1618,5222,283
1619,5201,281
1620,5184,283
1621,5183,286
1622,5212,286
1623,5174,284
1624,5164,284
1625,5107,285
1626,5153,279
1627,5093,277
1628,5114,277
1629,5051,274
1630,5082,274
1631,5052,272
1632,5038,271
1633,5136,269
1634,5087,269
1635,5120,266
1636,5055,268
1637,5033,268
1638,5147,271
1639,5093,270
1640,5086,273
1641,5016,268
1642,4961,268
1643,4973,268
1644,4949,266
1645,4979,267
1646,4976,267
1647,4960,268
1648,4905,269
1649,4883,271
1650,4901,265
1651,4928,265
1652,4954,264
1653,4967,265
1654,4851,269
1655,4882,268
1656,4872,272
1657,4888,271
1658,4844,268
1659,4841,266
1660,4767,262
1661,4782,263
1662,4748,263
1663,4747,264
1664,4730,261
1665,4732,262
1666,4724,260
1667,4751,261
1668,4612,260
1669,4651,258
1670,4634,265
1671,4692,267
1672,4615,267
1673,4635,266
1674,4602,265
1675,4627,267
1676,4619,270
1677,4617,272
1678,4581,274
1679,4587,276
1680,4537,276
1681,4623,275
1682,4571,276
1683,4561,278
1684,4582,279
1685,4583,282
1686,4543,285
1687,4544,284
1688,4544,287
1689,4526,290
1690,4490,288
1691,4531,286
1692,4492,285
1693,4509,290
1694,4466,294
1695,4437,294
1696,4493,296
1697,4482,297
1698,4427,301
1699,4412,303
1700,4425,306
1701,4418,308
1702,4458,307
1703,4483,307
1704,4438,307
1705,4361,309
1706,4358,310
1707,4317,311
1708,4373,309
1709,4306,308
1710,4341,313
1711,4336,316
1712,4358,319
1713,4368,322
1714,4318,323
1715,4297,321
1716,4312,320
1717,4307,319
1718,4303,319
1719,4327,320
1720,4258,320
1721,4218,323
1722,4177,326
1723,4203,326
1724,4214,331
1725,4173,331
1726,4181,330
1727,4182,335
1728,4187,333
1729,4139,334
1730,4126,333
1731,4147,336
1732,4107,338
1733,4175,335
1734,4143,338
1735,4171,338
1736,4127,341
1737,4098,338
1738,4065,338
1739,4050,336
1740,4020,340
1741,3974,340
1742,3989,340
1743,3976,338
1744,3949,339
1745,3959,337
1746,3930,337
1747,3964,333
1748,3954,333
1749,3962,333
1750,3882,332
1751,3948,334
1752,3965,337
1753,3952,337
1754,3931,340
1755,3894,340
1756,3934,342
1757,3830,345
1758,3857,348
1759,3834,348
1760,3884,347
1761,3811,351
1762,3789,350
1763,3760,350
1764,3772,347
1765,3734,349
1766,3710,347
1767,3734,345
1768,3677,347
1769,3691,350
1770,3651,349
1771,3688,352
1772,3632,350
1773,3692,349
1774,3683,348
1775,3720,348
